Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At
spotify:track:1lWWoec2z1j88GRblI5anV,ZITTI E BUONI,spotify:artist:0lAWpj5szCSwM4rUMHYmrr,Måneskin,spotify:album:3DBUrkaKptFY2JSKpfukiy,ZITTI E BUONI,spotify:artist:0lAWpj5szCSwM4rUMHYmrr,Måneskin,2021-03-03,https://i.scdn.co/image/ab67616d0000b2737a3ab8bd64a0952e452ec799,1,1,192654,https://p.scdn.co/mp3-preview/55e26ad000107876dda10dad8a33481a229210ca?cid=9950ac751e34487dbbe027c4fd7f8e99,true,71,spotify:user:,2021-05-21T08:25:26Z
spotify:track:0NbGUXzlqYkSKlGiduwo84,Je me casse - Eurovision Official Entry,spotify:artist:1D6ueetjwqW491iboMI3NT,Destiny,spotify:album:3wO7Ie9SrkbvCGQNOL7Nf5,Je me casse (Eurovision Official Entry),spotify:artist:1D6ueetjwqW491iboMI3NT,Destiny,2021-03-22,https://i.scdn.co/image/ab67616d0000b273dff60918500ac4a778532edb,1,1,178500,https://p.scdn.co/mp3-preview/658120573ae292059fef9cc3a9077b687f6af5df?cid=9950ac751e34487dbbe027c4fd7f8e99,false,23,spotify:user:,2021-05-21T08:25:26Z
spotify:track:4TAttqXwjj56xZQVKvlX0K,El Diablo,spotify:artist:4TgsxeFPNtkZ5lneq9AceU,Elena Tsagrinou,spotify:album:3lD9TdjZ9arObEt1wtETVK,El Diablo,spotify:artist:4TgsxeFPNtkZ5lneq9AceU,Elena Tsagrinou,2021-02-28,https://i.scdn.co/image/ab67616d0000b2735eda791d3dcd901b269194d1,1,1,181546,https://p.scdn.co/mp3-preview/0f7b9fc75685e6af9a7ea0ee29bc4cc16ca58693?cid=9950ac751e34487dbbe027c4fd7f8e99,false,43,spotify:user:,2021-05-21T08:25:26Z
spotify:track:1uAOCTevGnyKIDbgZdOCnE,Voilà,spotify:artist:3L4wiBOSDLkJ18OISXZDA8,Barbara Pravi,spotify:album:7dg4laFCDLBu0Oi2uWyafE,Voilà,spotify:artist:3L4wiBOSDLkJ18OISXZDA8,Barbara Pravi,2020-11-06,https://i.scdn.co/image/ab67616d0000b273fa511f0d07b9aa8bdab3abe3,1,1,176815,https://p.scdn.co/mp3-preview/63bcbb1347cc3fa2337fcf959ec0d0e38822ceaa?cid=9950ac751e34487dbbe027c4fd7f8e99,false,67,spotify:user:,2021-05-21T08:25:26Z
spotify:track:7dMOzsTZOUtOF7W5kLN0gf,Discoteque,spotify:artist:34G31kGbSQmemVlI0G784o,THE ROOP,spotify:album:1OfWh8e9R7tOmrX4pGlDBe,Discoteque,spotify:artist:34G31kGbSQmemVlI0G784o,THE ROOP,2021-01-21,https://i.scdn.co/image/ab67616d0000b27327b0fce2b0271d6a5aa7a67e,1,1,180521,https://p.scdn.co/mp3-preview/4d48e499d2c344fd6c57a6f3b7155cff71e519a6?cid=9950ac751e34487dbbe027c4fd7f8e99,false,60,spotify:user:,2021-05-21T08:25:26Z
spotify:track:5zxZ7M4RgWZUHlMEwac8vt,Voices,spotify:artist:1BwDWgdDJe3TJXLZkBkpsI,Tusse,spotify:album:55w4D3r62g4hmMVvpnVkSV,Voices,spotify:artist:1BwDWgdDJe3TJXLZkBkpsI,Tusse,2021-02-27,https://i.scdn.co/image/ab67616d0000b273a59426ba90ee9b5632bdc270,1,1,184000,https://p.scdn.co/mp3-preview/e6e697eff409e4aa9efb5b9e5282605e6d15b36a?cid=9950ac751e34487dbbe027c4fd7f8e99,false,63,spotify:user:,2021-05-21T08:25:26Z
spotify:track:4O0LQKVT6hGmVGNwizmydg,10 Years,spotify:artist:3Hb64DQZIhDCgyHKrzBXOL,Daði Freyr,spotify:album:2Zegz0LaKZgwrLo5UbEa2x,10 Years,spotify:artist:3Hb64DQZIhDCgyHKrzBXOL,Daði Freyr,2021-03-13,https://i.scdn.co/image/ab67616d0000b2739305dd1c01c870510509997b,1,1,166000,https://p.scdn.co/mp3-preview/bcbc71607380a97ba40a798c2bca085cf6b52228?cid=9950ac751e34487dbbe027c4fd7f8e99,false,64,spotify:user:,2021-05-21T08:25:26Z
spotify:track:5sckZhskSmeF8TFJ05oSCB,Adrenalina,spotify:artist:0kgOnYSaZeTf3ZnErgwkGT;spotify:artist:0jnsk9HBra6NMjO2oANoPY,Senhit & Flo Rida,spotify:album:7aEMUNrcbMQtaVsBvJUGlO,Adrenalina,spotify:artist:0kgOnYSaZeTf3ZnErgwkGT; spotify:artist:0jnsk9HBra6NMjO2oANoPY,Senhit; Flo Rida,2021-03-12,https://i.scdn.co/image/ab67616d0000b27377a9765bf3dc7fa855ba2915,1,1,179786,https://p.scdn.co/mp3-preview/b81dd6193e6d937bd75eea757169dc72053fa6a8?cid=9950ac751e34487dbbe027c4fd7f8e99,false,54,spotify:user:,2021-05-21T08:25:26Z
spotify:track:76TRCnbYfo9GU5DPsZ1uI9,Set Me Free,spotify:artist:3E7T8t0FwjEVxg9jufWZQG,Eden Alene,spotify:album:08DdXBJAEq7TPj0EbkhJK5,Set Me Free,spotify:artist:3E7T8t0FwjEVxg9jufWZQG,Eden Alene,2021-03-27,https://i.scdn.co/image/ab67616d0000b273c04c189d597923a8793afe70,1,1,179439,https://p.scdn.co/mp3-preview/103ddecf5a825c72a41e54fa08bd231e964a6205?cid=9950ac751e34487dbbe027c4fd7f8e99,false,57,spotify:user:,2021-05-21T08:25:26Z
spotify:track:3MvY2XbGYFi6p2dgmdcOYG,Tout l'univers,spotify:artist:0RIwEP1SaALlxn9jOVqHfA,Gjon's Tears,spotify:album:1UnqlxXSM5dlxZi6vLIIEH,Tout l'univers,spotify:artist:0RIwEP1SaALlxn9jOVqHfA,Gjon's Tears,2021-03-10,https://i.scdn.co/image/ab67616d0000b273e844e97c006b7be0c9696baf,1,1,183706,https://p.scdn.co/mp3-preview/0ff497cb1cbaa1e2a7bb48450089da0d48a9b985?cid=9950ac751e34487dbbe027c4fd7f8e99,false,63,spotify:user:,2021-05-21T08:25:26Z
